,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
142610,AU,visa,456409.0,52000.0,AUD,AU,Ecommerce,TRUE,0,1440036716.0,APACAccount,337784,55220,11068,1,2015-8-20
142611,AU,visagold,407220.0,54000.0,AUD,AU,Ecommerce,TRUE,0,1440063644.0,APACAccount,252687,55107,30168,1,2015-8-20
144458,AU,visaplatinum,456468.0,83000.0,AUD,AU,Ecommerce,TRUE,0,1440118941.0,APACAccount,184888,1696,11015,1,2015-8-21
146246,MX,visaclassic,477291.0,41900.0,MXN,MX,Ecommerce,TRUE,0,1440214731.0,MexicoAccount,309212,114017,136478,1,2015-8-22
146247,MX,visaclassic,477291.0,149900.0,MXN,MX,Ecommerce,TRUE,0,1440222993.0,MexicoAccount,164007,110536,119514,1,2015-8-22
148009,SE,visadebit,453903.0,110000.0,SEK,SE,Ecommerce,TRUE,1,1440256624.0,SwedenAccount,103619,199662,135254,1,2015-8-22
148189,AU,mccredit,528013.0,16000.0,AUD,AU,Ecommerce,TRUE,0,1440324202.0,APACAccount,313035,24390,150456,1,2015-8-23
150122,AU,mccredit,535316.0,72000.0,AUD,AU,Ecommerce,TRUE,0,1440377648.0,APACAccount,90767,55235,166933,1,2015-8-24
150123,AU,mccredit,519244.0,15000.0,AUD,AU,Ecommerce,TRUE,0,1440393220.0,APACAccount,161296,37566,44926,1,2015-8-24
150124,AU,mccredit,552033.0,44000.0,AUD,AU,Ecommerce,TRUE,0,1440442446.0,APACAccount,270653,1646,270126,1,2015-8-24
151967,MX,visaclassic,477291.0,153900.0,MXN,MX,Ecommerce,TRUE,0,1440525685.0,MexicoAccount,205408,61472,34327,1,2015-8-25
152052,AU,visaplatinum,456468.0,74000.0,AUD,AU,Ecommerce,TRUE,0,1440474364.0,APACAccount,115857,117612,9002,1,2015-8-25
152053,AU,visaplatinum,456472.0,12850.0,AUD,AU,Ecommerce,TRUE,0,1440501091.0,APACAccount,317030,146795,235791,1,2015-8-25
152054,AU,mccredit,535316.0,37500.0,AUD,AU,Ecommerce,TRUE,0,1440508618.0,APACAccount,103112,32792,14697,1,2015-8-25
